Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
278510,3.95177,7.60764,3.94227,5.15905,0.00937189,0.00104682,180,predator,0,13,16
530794,3.65928,7.55861,4.74232,2.75093,0.00807515,0.00104682,185,apple,1,16,11
278510,3.95177,7.60764,3.94227,5.57128,0.00937189,0.00104682,180,scavenger,1,13,15
639183,3.66701,7.55861,6.08857,1.06761,0.00874086,0.00104682,76,apple,1,16,11
278510,3.95177,7.60764,3.94227,6.4938,0.00937189,0.00104682,180,scavenger,1,13,15
529615,3.65928,7.55861,4.70014,2.75093,0.00874086,0.00104682,72,apple,0,17,18
321465,3.65928,7.55861,4.61918,2.75093,0.00873842,0.00104682,190,apple,1,15,18
278510,3.95177,7.60764,3.94227,6.4938,0.00937189,0.00104682,180,scavenger,1,13,15
691052,3.65928,7.75773,5.15464,2.75093,0.00937189,0.00104682,157,apple,1,16,11
321465,3.62478,7.55861,4.61839,2.77802,0.00873842,0.00104682,190,apple,1,15,18
640065,3.64813,7.55861,5.15464,2.75093,0.00807515,0.00104682,181,apple,1,16,11
278510,3.95177,7.6335,3.94227,6.4938,0.0107145,0.00104682,180,scavenger,1,13,5
529615,3.65928,7.55861,4.94848,2.75093,0.00807515,0.00104682,72,apple,1,16,18
639589,3.65928,7.55861,6.08857,2.75093,0.00807515,0.00104682,76,apple,1,16,11
691052,3.65928,7.529,5.13491,2.77802,0.00937189,0.00104682,157,apple,1,16,26
583621,3.50192,7.55861,4.59475,2.75093,0.00776037,0.00104682,69,apple,1,16,11
639830,3.65928,8.24524,4.65226,2.75093,0.00874086,0.00104682,69,apple,1,2,11
530794,3.92013,7.529,5.13491,2.80717,0.00937189,0.00104682,181,apple,0,17,26
583621,3.65928,7.55861,4.59475,2.75093,0.00807515,0.00104682,72,apple,1,16,11
640065,3.65928,7.55861,5.61174,0.767548,0.00937189,0.00104682,181,apple,1,16,11
640635,3.65928,7.54628,6.08857,2.80717,0.00937189,0.00104682,157,scavenger,1,16,24
691052,3.65928,7.55861,6.07897,2.75093,0.00807515,0.00104682,181,apple,1,16,11
639337,3.92013,7.90193,5.15464,2.75093,0.00784041,0.00104682,69,apple,1,16,11
639830,3.65928,7.55861,4.65226,2.75093,0.00874086,0.00104682,74,apple,1,16,11
529615,3.65928,7.55861,4.59475,2.75093,0.00915681,0.00104682,72,apple,1,16,11
530794,3.65928,7.55861,4.74232,2.75093,0.00873842,0.00104682,185,apple,1,15,11
639183,3.66701,7.55861,6.08857,1.06761,0.00873842,0.00104682,76,apple,1,16,18
640065,3.65928,7.55861,0.206431,0.767548,0.00937189,0.00104682,181,apple,1,16,11
530794,3.78971,7.529,4.70014,2.75093,0.00905637,0.00104682,72,apple,0,17,26
691052,3.66315,7.55861,6.08857,2.75093,0.00937189,0.00104682,76,apple,1,16,11
530794,3.65928,7.55861,4.65788,2.75093,0.00873842,0.00104682,190,apple,1,15,11
530794,3.78971,7.55861,4.70014,2.75093,0.00807515,0.00104682,185,apple,1,16,11
640065,3.65928,7.55861,6.04404,2.75093,0.00937189,0.00104682,82,apple,1,16,11
530794,3.79357,7.55861,6.08857,2.80717,0.00874086,0.00104682,76,apple,1,16,30
640065,3.65928,7.55861,5.15464,0.767548,0.00937189,0.00104682,157,apple,1,16,11
639183,3.65928,7.55861,6.08857,1.06761,0.00807515,0.00104682,72,apple,1,18,18
529615,3.92013,7.90193,4.70014,2.75093,0.00874086,0.00104682,72,apple,0,17,14
530794,3.65928,7.55861,4.65226,2.75093,0.00873842,0.00104682,74,apple,1,16,11
639183,3.66701,7.55861,6.08857,1.06761,0.00705564,0.00104682,76,apple,1,16,30
530794,3.72449,7.529,4.70014,2.75093,0.00905637,0.00104682,72,apple,1,16,26
