Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
533306,3.92013,7.65202,4.94908,2.77802,0.00415816,0.00101139,69,apple,1,16,23
529615,3.99114,8.24524,4.94908,2.76399,0.00807515,0.00104682,72,apple,1,17,4
278510,3.95177,7.60764,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,0,13,16
746897,3.92013,7.55861,5.15464,2.77802,0.00807515,0.00104682,157,apple,1,16,11
529615,3.92013,8.24524,4.60545,2.77802,0.00381468,0.00104682,75,apple,1,13,23
529615,3.99114,8.24524,4.94908,2.77802,0.00807515,0.00104682,68,apple,1,17,18
278510,3.95177,7.63829,8.79611,6.48642,0.00937189,0.0010416,180,scavenger,1,13,16
277878,3.95177,7.63829,8.79614,6.48642,0.00937189,0.0010416,185,scavenger,1,13,16
278510,3.95177,7.63829,3.94227,6.48642,0.00937189,0.00104682,180,scavenger,1,13,15
529615,3.99114,8.24524,4.93601,2.77816,0.00807515,0.00104682,72,apple,1,14,18
454064,3.65928,7.55861,4.60545,2.75093,0.00937189,0.00104682,185,apple,1,18,11
639830,3.99114,8.24524,4.94908,2.77816,0.00937189,0.0010291,185,apple,1,16,23
529615,3.92013,8.24524,4.93601,2.75789,0.00807515,0.00104682,75,apple,1,13,18
278510,3.95177,7.63829,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,1,13,16
529615,3.65928,7.55861,4.60545,2.75093,0.00807515,0.00104682,185,apple,1,17,11
533306,3.65928,7.65202,3.94227,2.77802,0.00940658,0.00101139,70,apple,1,16,23
512536,3.96911,7.74713,3.94227,2.72783,0.00959417,0.00104682,70,apple,1,16,22
521075,3.65928,7.55861,4.60545,2.80797,0.00807515,0.00104682,70,apple,1,16,11
532186,3.65928,7.65202,4.60545,2.75093,0.00940658,0.00104682,66,apple,1,18,11
512235,3.65928,7.65202,4.94908,2.77802,0.00892648,0.00101139,69,apple,1,17,21
278510,3.95177,7.63829,3.94227,6.48642,0.00937189,0.00104682,180,scavenger,0,13,16
533306,3.65928,7.55861,3.94227,2.77802,0.00940658,0.00104682,70,apple,1,16,11
512235,3.65928,6.08986,4.95009,2.75093,0.00937189,0.0010291,128,apple,1,14,11
521075,3.65928,4.90479,4.94908,2.80797,0.00807515,0.00104682,72,apple,1,16,24
278510,3.95177,8.67338,9.86395,6.48642,0.00937189,0.00104682,180,scavenger,0,13,17
532186,3.65928,7.55861,4.94908,2.81998,0.00940658,0.00104682,185,apple,1,18,18
529615,3.99114,8.24524,4.93601,2.77802,0.00807515,0.00104682,72,apple,1,14,18
530041,3.981,7.90193,4.60545,2.75093,0.00937189,0.00104682,181,apple,1,17,11
529615,3.99114,8.24524,4.94908,2.77816,0.00807515,0.00104682,72,apple,1,14,18
532186,3.65928,7.55861,4.94908,2.81998,0.00940658,0.00104682,162,apple,1,18,18
512536,3.65928,7.75626,4.94908,2.80797,0.00892648,0.00104682,73,apple,1,17,21
492052,3.65928,7.90193,4.60545,2.75093,0.00937189,0.00104682,181,apple,1,17,11
278510,3.95177,7.60764,3.94227,5.57128,0.00937189,0.00104682,180,scavenger,0,13,17
454064,3.99114,8.22154,4.93601,2.77802,0.00937189,0.00104682,72,apple,1,12,18
532186,3.65928,7.55861,4.94908,2.80797,0.00940658,0.00104682,72,apple,1,18,18
278510,3.95177,7.60764,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,0,13,16
532186,3.981,7.90193,4.60545,2.75093,0.00937189,0.00104682,181,apple,1,17,18
454064,3.65928,8.24524,8.71865,2.75093,0.00807515,0.00104682,72,apple,1,18,18
453759,3.99114,8.24524,4.93601,2.77802,0.00807515,0.00104682,72,apple,1,12,18
639830,3.99114,8.22154,4.9457,2.77802,0.00937189,0.0010291,72,apple,1,12,23
521075,3.92013,4.90479,4.94908,2.77802,0.00807515,0.00104682,72,apple,1,16,11
453759,3.99114,8.24524,4.93601,2.77802,0.00807515,0.00104682,72,apple,0,12,18
491839,3.65928,7.55861,4.60545,2.75093,0.00937189,0.00104682,72,apple,1,8,18
492052,3.65928,7.90193,4.60545,2.80797,0.00937189,0.00104682,181,apple,0,17,11
532186,3.65928,7.65202,3.94227,2.77802,0.00940658,0.00104682,162,apple,1,16,18
278510,3.95177,7.60764,3.94227,5.15905,0.00937189,0.00104682,180,scavenger,1,13,17
