Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
640065,3.65928,3.60134,5.83054,2.703,0.00937189,0.00104682,181,apple,1,16,11
638370,3.65928,7.55861,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,11
640065,3.65928,7.50893,3.11462,2.75093,0.00937189,0.00104682,106,predator,1,15,11
640065,3.95177,7.60764,6.08857,6.50374,0.00937189,0.00104682,180,scavenger,1,13,20
640065,3.65928,7.55861,6.04404,1.08589,0.00937189,0.00104682,106,apple,1,25,15
278510,3.92739,7.60764,6.08857,6.4938,0.00937189,0.00104682,180,scavenger,1,13,20
665558,3.65928,3.60134,2.86115,2.72696,0.00937189,0.00104682,89,apple,1,29,16
640147,3.65928,7.50893,6.04556,2.72696,0.00969748,0.00104682,89,apple,1,27,16
665558,3.65928,3.60134,2.86115,2.72696,0.00937189,0.00104682,89,apple,1,29,16
640147,3.65928,7.50893,6.08688,2.72696,0.00817676,0.00104682,89,apple,1,23,16
640065,3.65928,7.55861,6.04709,1.08589,0.00937189,0.00104682,89,apple,1,29,16
640065,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,181,apple,1,23,16
640147,3.65928,7.53377,6.04709,1.05874,0.00937189,0.00104682,89,apple,1,29,16
665558,3.65928,3.60134,2.86115,2.72696,0.00937189,0.00104682,89,apple,1,29,16
640196,3.65928,3.60134,5.83054,2.72696,0.00896285,0.00104682,181,apple,1,23,12
973322,3.65928,7.55861,6.04709,1.08589,0.00886323,0.00104682,91,apple,1,29,15
640065,3.65928,3.60134,5.83054,2.72696,0.00896285,0.00104682,181,apple,1,23,11
278510,3.92739,7.60764,6.08857,4.17438,0.00937189,0.00104682,180,scavenger,1,13,24
640147,3.65928,7.50893,6.06077,2.77359,0.00953468,0.00104682,89,apple,1,6,16
278510,3.92739,7.60764,6.08857,4.17438,0.00937189,0.00104682,181,scavenger,1,13,20
640065,3.65928,3.60134,5.83054,2.72696,0.00896285,0.00104682,181,apple,1,16,11
973322,3.65928,7.55861,6.04709,1.08589,0.00835457,0.00104682,91,apple,1,25,15
640065,3.92739,9.97645,6.08857,4.17438,0.00937189,0.00104682,178,scavenger,1,5,20
640065,3.63994,3.60134,6.04404,2.72696,0.00937189,0.00104682,106,apple,1,23,15
640065,3.65928,7.55861,6.04709,2.72696,0.0179379,0.00104682,106,apple,1,15,16
973322,3.65928,7.55861,6.04709,1.05874,0.00937189,0.00104682,91,apple,1,29,16
278510,3.92739,7.60764,6.08857,4.17438,0.00937189,0.00104682,181,scavenger,1,13,24
640065,3.65928,3.65027,5.83054,2.73379,0.00896285,0.00104682,181,apple,1,16,11
974205,3.70424,7.55861,2.87981,1.08589,0.00835457,0.00104682,91,apple,1,25,16
640065,3.65928,3.60134,6.04404,2.72696,0.00937189,0.00104682,106,apple,1,23,16
640147,3.65928,4.12821,6.04709,1.05874,0.00937189,0.00104682,91,apple,1,29,16
459287,3.87882,7.60764,6.08857,4.17438,0.0108987,0.00104682,181,scavenger,1,5,20
640065,3.65928,3.60134,5.83054,2.73379,0.00896285,0.00104682,181,apple,1,16,11
278510,3.92739,7.60764,6.10085,6.50374,0.0101076,0.00104682,180,scavenger,1,13,20
807286,3.65928,7.50893,6.06077,1.08589,0.00953468,0.00104682,89,apple,1,6,16
640065,3.65928,7.55861,5.83054,2.72696,0.00937189,0.00104682,155,apple,1,23,11
