Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
684916,4.45953,7.64457,3.9539,4.42826,0.00713422,0.00104682,96,apple,1,8,11
275554,4.24031,7.63937,3.93968,2.77394,0.00713422,0.00104682,126,predator,1,4,11
543635,5.06938,7.666,4.25813,2.77394,0.00544939,0.00104682,156,apple,1,10,11
275554,4.44272,7.64801,4.25813,5.71036,0.00529063,0.00104682,154,apple,1,8,13
346990,4.49051,7.60678,8.76651,4.42826,0.00713422,0.00126042,105,scavenger,1,11,13
409558,5.06938,7.666,3.97002,2.80064,0.00531817,0.00104682,96,apple,1,9,14
275554,5.0814,7.65831,4.25813,2.77394,0.00697508,0.00104682,128,apple,1,4,3
346990,4.49051,7.60678,3.95411,4.42826,0.00751664,0.00104682,105,scavenger,1,11,13
275554,5.06938,7.65831,4.25813,2.77394,0.00697508,0.00104682,156,apple,1,9,3
543563,4.03791,7.666,3.9539,2.75884,0.00529063,0.00104682,96,apple,1,10,13
476590,4.51608,7.666,4.10602,4.42826,0.00531817,0.00104682,96,apple,0,4,16
275554,4.51608,7.65831,3.9539,4.42826,0.0048964,0.00104682,141,apple,1,8,11
543635,4.51608,7.666,3.96388,3.19787,0.00767439,0.00104682,96,apple,1,4,3
684916,5.06938,7.70547,3.97002,2.78729,0.00385838,0.00104682,96,apple,1,9,11
684896,4.48014,7.64457,4.25813,3.6011,0.00713422,0.00104682,96,apple,1,4,9
181544,4.51608,2.61073,4.25813,3.6011,0.00767439,0.00104682,96,apple,1,4,3
275554,4.44272,7.6453,4.25813,4.42826,0.00529063,0.00104682,154,apple,1,4,9
347029,5.10777,7.62208,3.98484,4.42826,0.00751664,0.00104682,105,scavenger,1,11,13
275554,4.44272,7.6453,4.25813,4.42826,0.00604832,0.00104682,126,apple,1,4,12
543635,5.06938,7.666,4.22158,3.6011,0.00618918,0.00104682,96,apple,1,10,14
347029,4.4562,7.60678,4.61883,4.39339,0.00751664,0.00104682,105,scavenger,1,11,13
684916,4.45953,7.64457,3.98505,2.77394,0.00744189,0.00104682,156,apple,1,7,3
543627,5.06938,7.666,4.25813,2.77394,0.00618918,0.00104682,130,apple,1,9,14
684896,4.45953,7.64457,3.98505,4.42826,0.00744189,0.00104682,96,apple,1,4,11
684916,4.45953,7.666,4.22158,4.42826,0.00618918,0.0011298,96,apple,1,8,6
346990,4.4562,7.60678,3.93178,4.39339,0.00751664,0.00104682,105,scavenger,1,11,13
543627,5.06938,7.02611,4.25813,2.77394,0.00697508,0.00104682,126,apple,1,10,14
347029,4.4562,7.60678,4.61883,4.39339,0.00751664,0.00104682,105,scavenger,1,11,13
275554,4.03791,7.64457,4.25813,2.77394,0.00697508,0.00104682,146,apple,1,4,3
347096,4.4562,7.60678,4.61883,4.39339,0.00751664,0.00104682,105,scavenger,1,11,13
543627,5.06938,7.666,4.25813,2.77394,0.00697508,0.00104682,130,apple,1,9,14
346990,4.4562,7.65057,3.93178,4.39339,0.00751664,0.00110382,105,scavenger,1,22,13
684916,4.45953,7.64127,3.97002,3.61445,0.00713422,0.00104682,96,apple,1,9,14
543563,5.0814,7.64457,4.25813,2.77394,0.00713422,0.00104682,128,apple,1,4,11
476590,4.45953,7.64457,4.10602,4.46099,0.00744189,0.00104682,156,apple,0,4,16
614265,4.48014,7.64457,3.92974,3.19787,0.00767439,0.00104682,96,apple,1,4,3
543627,5.06938,7.666,4.25813,2.77394,0.00697508,0.00104682,126,apple,1,8,14
543627,5.06938,7.666,4.25813,3.19787,0.00618918,0.00104682,130,apple,1,9,14
476590,5.0814,7.64457,4.25813,2.77394,0.00713422,0.00104682,156,apple,0,4,12
409558,4.45953,7.666,3.97002,3.61445,0.00713422,0.00104682,96,apple,1,9,14
543627,4.03791,7.64457,4.25813,2.77394,0.00697508,0.00104682,137,apple,1,15,14
347043,4.4562,7.65057,4.61883,4.39339,0.00751664,0.00104682,105,scavenger,1,11,13
684916,5.06938,7.70547,3.97002,2.77394,0.00385838,0.00104682,99,apple,1,8,14
275554,4.44272,7.64801,4.25813,3.6011,0.00713422,0.00104682,150,apple,1,4,13
543563,5.06938,7.64457,4.25813,2.77394,0.00697508,0.00104682,128,apple,1,4,14
476590,5.0814,7.67042,4.25813,4.42826,0.00529063,0.00104682,154,scavenger,0,4,12
476590,5.06938,7.666,4.25813,4.46099,0.00744189,0.00104682,156,apple,0,9,14
