Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
614265,4.51608,5.12765,3.88045,3.6011,0.00618918,0.00104682,96,predator,0,4,3
614265,4.48014,7.64457,3.92974,3.6011,0.00767439,0.00104682,96,apple,1,23,3
595079,5.06938,7.666,4.25813,4.42826,0.00697508,0.00104682,96,apple,1,9,16
543563,4.48014,7.666,4.00611,2.79956,0.00529063,0.00104682,96,apple,1,16,13
347029,5.0814,7.60678,3.93178,4.39339,0.00640507,0.00104682,105,scavenger,1,11,13
649576,5.0814,7.666,3.97002,2.78729,0.00731195,0.00104682,156,apple,1,23,12
409654,4.45953,7.666,3.9822,2.75884,0.00604832,0.00104682,61,apple,1,29,14
649576,5.14019,7.70547,3.97002,2.78729,0.00731195,0.00104682,130,apple,1,9,13
543635,4.51608,7.666,3.9539,3.6011,0.00599567,0.00104682,96,apple,1,8,14
342514,4.03816,7.59978,3.9539,2.77816,0.00604832,0.00104682,96,apple,1,29,14
543563,4.48014,7.666,3.9822,2.0115,0.00604832,0.00104682,96,apple,1,29,10
275554,4.03816,7.6453,3.9539,2.78729,0.00731195,0.00104682,130,apple,1,6,13
543635,4.51608,7.70547,3.97002,3.6011,0.00599567,0.00104682,130,apple,1,8,14
543563,4.48014,7.666,3.9822,2.0115,0.00819867,0.00104682,96,apple,1,29,10
347029,5.0814,7.60678,3.93178,4.39339,0.00640507,0.00104682,105,scavenger,1,11,13
409654,3.99065,7.666,3.9539,2.75884,0.00495789,0.00104682,96,apple,1,4,23
275554,4.45953,7.6842,3.9539,2.78729,0.00607599,0.00104682,100,scavenger,1,16,13
409635,4.45953,7.666,3.95018,2.79154,0.00731195,0.00104682,61,apple,1,29,13
409635,4.45953,7.62123,3.95018,7.74378,0.00731195,0.00104682,61,apple,1,6,13
342514,4.27542,7.666,3.9539,2.77816,0.00599567,0.00104682,96,apple,1,16,14
409654,3.99065,7.666,3.97002,2.77816,0.00604832,0.00104682,130,apple,1,29,13
311272,4.4562,1.91179,3.93178,4.39339,0.00640507,0.00104682,105,scavenger,1,11,16
543563,4.48014,7.70547,4.00611,2.78729,0.00529063,0.00104682,96,apple,1,16,13
409654,3.99065,7.666,3.97002,2.7675,0.00604832,0.00104682,156,apple,1,29,12
342514,4.27542,7.666,3.97002,3.6011,0.00599567,0.00104682,96,apple,1,15,14
543563,4.45953,7.65831,4.00611,2.75884,0.00819867,0.00104682,96,apple,1,16,13
409654,3.99065,7.666,3.97002,2.7675,0.00819867,0.00104682,156,apple,1,29,13
342514,4.44215,7.59978,3.9539,5.18707,0.00604832,0.00104682,96,apple,1,29,13
409654,4.48014,7.70547,4.00611,2.82903,0.00529063,0.00104682,156,apple,1,16,12
342514,4.27542,7.666,3.9539,2.77816,0.00599567,0.00104682,96,apple,1,16,13
342514,4.27542,7.666,3.93236,2.80551,0.00599567,0.00104682,96,apple,1,16,13
649576,3.99065,7.666,3.97002,2.78729,0.00731195,0.00104682,130,apple,1,23,11
275554,4.03816,7.6453,3.9539,2.75884,0.00604832,0.00104682,61,apple,1,29,14
409654,4.45953,4.55586,3.95018,2.75884,0.00819867,0.00104682,61,apple,1,6,13
649576,3.99065,7.666,3.97002,2.78729,0.00713371,0.00104682,156,apple,1,23,14
649576,5.14019,7.70547,3.97002,2.78729,0.00731195,0.00104682,130,apple,1,29,13
347029,4.4562,1.91179,3.93178,4.39339,0.00640507,0.00104682,105,scavenger,1,11,13
342514,4.27542,7.666,3.9822,0.985483,0.00604832,0.00104682,61,apple,1,29,13
649576,3.99065,7.666,3.97002,2.78729,0.00713371,0.00104682,130,apple,1,23,11
409654,5.14019,7.666,3.97002,2.78729,0.00495789,0.00104682,130,apple,1,4,23
614265,4.48014,7.6453,3.9539,2.75884,0.00604832,0.00176858,96,apple,1,23,14
275554,4.4562,1.91179,3.9539,4.39339,0.00607599,0.00104682,106,scavenger,1,11,13
409654,4.45953,7.666,3.9822,5.18733,0.00604832,0.00104682,61,apple,1,29,14
409654,4.03816,7.59978,3.95018,2.77816,0.00817935,0.00188977,61,apple,1,29,13
649576,3.99065,7.666,3.97002,2.78729,0.00713371,0.00104682,126,apple,1,23,11
649496,4.48014,7.666,3.97002,2.79956,0.00713371,0.00104682,130,apple,1,23,11
649576,5.14019,7.666,3.97002,2.78729,0.00731195,0.00104682,61,apple,1,29,13
409635,3.99065,7.666,3.95018,2.79154,0.00495789,0.00104682,61,apple,1,4,13
347029,4.4562,1.86738,3.93178,4.39339,0.00607599,0.00104682,106,scavenger,1,11,13
