Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
752801,1.25746,5.85243,2.15531,9.40585,0.00935293,0.00282459,146,apple,0,25,29
62133,5.20706,8.69062,9.69397,7.84988,0.00848414,0.00200372,182,apple,1,26,11
829631,3.02001,5.09838,3.53639,7.82774,0.00158349,0.00432714,183,apple,0,10,16
68006,4.52363,1.73737,5.84045,9.40423,0.00113351,0.00892677,87,apple,0,23,27
964476,2.61533,4.59304,0.50477,7.5766,0.00352994,0.00212355,166,apple,1,18,6
420869,3.17042,4.93052,3.13926,4.1126,0.00122099,0.00955625,152,apple,1,30,12
809048,5.44322,2.17078,2.53254,6.68435,0.00340116,0.00218143,194,apple,1,23,13
76611,7.85968,4.79206,3.66758,4.41319,0.00119633,0.00535436,196,apple,0,14,7
401033,1.16436,8.05293,2.11273,8.35383,0.00183194,0.00505153,82,apple,1,25,13
830225,6.33387,5.85739,2.50559,7.8916,0.00484054,0.00165711,76,apple,1,3,22
237230,4.78584,7.84868,1.34699,7.96818,0.00547155,0.00191934,48,apple,1,23,24
347042,3.77331,8.3685,1.75067,4.02457,0.00240527,0.00205852,41,apple,1,11,2
471754,5.91711,6.48644,2.46347,7.09055,0.00150718,0.0012767,44,apple,0,22,25
905008,6.41129,3.91853,4.95836,9.9709,0.00480711,0.00364739,105,apple,0,16,27
634302,5.17441,3.017,8.60687,1.08617,0.00598435,0.00104682,99,apple,1,5,16
634302,5.17441,7.18705,8.60687,1.08617,0.00566829,0.00104682,152,apple,0,2,26
634302,5.17441,7.18705,8.60687,1.04644,0.00611425,0.00104682,152,apple,0,5,16
830225,6.31024,5.85739,2.50559,7.8916,0.00718575,0.00175627,187,apple,0,3,22
574975,4.96436,7.62399,8.60687,1.02205,0.00664916,0.00104682,152,apple,0,23,15
809048,5.44322,2.17078,2.53254,1.02205,0.00502516,0.00218143,152,apple,1,26,13
634302,5.17441,7.18705,8.60687,1.04644,0.00719114,0.00104682,152,apple,0,8,16
601413,3.77331,8.3685,7.44495,4.02457,0.00240527,0.00254443,115,apple,0,11,13
574975,4.96436,7.23651,8.60687,5.37295,0.00664916,0.00104682,152,apple,0,8,15
634302,5.20706,1.70446,9.69397,1.04028,0.00848414,0.00140027,191,apple,1,26,11
574975,5.17441,7.666,8.60687,1.02205,0.00664916,0.00104682,152,apple,1,15,16
634302,5.06938,2.98152,8.60157,1.08617,0.00664916,0.00104682,156,apple,1,23,16
601413,5.91711,7.42747,7.45406,4.02457,0.00101208,0.0012767,115,apple,0,22,21
964476,2.61533,4.62617,0.50477,7.5766,0.00848414,0.00212355,166,apple,1,26,11
634302,6.35149,7.18705,2.08182,7.8916,0.00718575,0.00175627,187,apple,0,5,16
634302,4.96436,4.66422,8.60687,1.02205,0.00912814,0.00140027,156,apple,1,26,15
574975,0.522931,7.21762,8.60687,1.02205,0.00664916,0.00104682,152,apple,1,15,16
