Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
649576,3.99065,7.70133,3.9822,2.78729,0.00798259,0.00104682,130,predator,1,23,13
649576,3.99114,6.15504,5.85654,2.77816,0.00794956,0.00104682,92,apple,1,16,13
649576,3.99114,6.16844,5.85654,2.77816,0.00794956,0.00104682,92,apple,1,16,13
529615,3.95288,7.63829,3.94227,2.77816,0.00794956,0.00104682,92,apple,1,23,13
202914,3.98161,6.10993,5.87606,2.77816,0.00794956,0.00104682,89,apple,1,13,15
529615,3.99114,6.10993,4.89941,2.77816,0.00794956,0.00104682,133,apple,1,23,13
529615,3.99114,6.10993,3.94227,2.77816,0.00803917,0.00104682,133,apple,1,23,13
529615,3.99114,6.10993,4.89941,2.77816,0.00803917,0.00104682,133,scavenger,1,23,13
649576,3.99114,7.63829,3.94227,2.77816,0.00819867,0.00104682,133,apple,1,16,16
529615,3.95177,6.10993,5.85654,2.77816,0.00794956,0.00104682,49,apple,1,13,15
529615,3.95177,6.13616,5.85654,2.75334,0.00794956,0.00104682,92,apple,1,13,15
529615,3.99114,5.52019,4.89941,2.77816,0.00794956,0.00104682,133,apple,0,23,16
529615,3.95177,6.10993,5.85654,2.77816,0.00794956,0.00104682,49,apple,1,23,15
529615,3.99114,6.13616,5.85654,2.75334,0.00794956,0.00104682,92,apple,1,13,15
529615,3.95177,5.52019,6.80229,2.77816,0.00794956,0.00104682,49,apple,1,13,15
529615,3.99114,6.10993,4.89941,2.77816,0.00794956,0.00166162,133,scavenger,1,13,15
529615,3.95177,7.63829,5.85654,2.77816,0.00794956,0.00104682,49,apple,1,23,13
529615,3.95177,6.10993,5.85654,2.77816,0.00794956,0.00104682,49,apple,1,23,15
529615,3.99114,6.13616,5.85654,2.75334,0.00794956,0.00104682,92,apple,0,7,16
529581,3.95177,7.63829,3.90016,1.73356,0.00794956,0.00104682,49,apple,1,23,13
529615,3.99114,5.83651,5.85654,2.75334,0.00794956,0.00104682,96,apple,0,7,16
529615,3.99114,6.13616,5.85654,2.75334,0.00794956,0.00104682,134,apple,1,7,16
529581,3.95177,6.10993,5.85967,1.73356,0.00794956,0.00104682,92,apple,1,23,13
529615,4.01806,6.10993,3.94227,2.77816,0.00803917,0.00104682,89,apple,1,13,15
529615,3.99114,6.13616,5.85654,2.75334,0.00794956,0.00104682,92,apple,0,7,16
529581,3.95177,7.63829,5.85967,1.73356,0.00819867,0.00104682,92,apple,1,16,16
849590,3.99114,6.13616,5.85654,2.75334,0.00794956,0.00104682,92,apple,0,7,16
529615,3.95177,7.63829,5.85654,2.77816,0.00794956,0.00117957,92,apple,1,23,15
649576,4.01806,6.10993,3.94227,2.77816,0.00819867,0.00104682,133,apple,1,16,15
529581,3.99114,9.4737,5.85654,1.73356,0.00794956,0.00104682,92,apple,0,19,16
529615,3.95177,6.10993,5.85967,1.73356,0.00794956,0.00104682,49,apple,1,23,13
529615,3.99114,6.13616,5.85654,2.75334,0.00794956,0.00104682,133,apple,0,23,13
529615,3.99114,6.10993,7.14752,2.77816,0.00794956,0.00104682,133,apple,1,23,13
529615,3.95177,6.10993,3.94227,2.77816,0.00794956,0.00104682,49,apple,1,13,15
529615,3.99114,7.80005,5.85654,2.77816,0.00784371,0.00104682,133,apple,0,23,13
689602,3.99114,6.13616,5.85654,2.75334,0.00794956,0.00104682,92,apple,0,7,16
649576,3.99114,7.63829,3.94227,2.77816,0.00875624,0.00749112,133,apple,1,16,16
