Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
275554,5.06938,7.65831,4.25813,2.77394,0.00697508,0.00104682,156,apple,1,9,3
543563,4.03791,7.666,3.9539,2.75884,0.00529063,0.00104682,96,apple,1,10,13
476590,4.51608,7.666,4.10602,4.42826,0.00531817,0.00104682,96,apple,0,4,16
543635,4.51608,7.666,3.96388,3.19787,0.00767439,0.00104682,96,apple,1,4,3
684916,5.06938,7.70547,3.97002,2.78729,0.00385838,0.00104682,96,apple,1,9,11
181544,4.51608,2.61073,4.25813,3.6011,0.00767439,0.00104682,96,apple,1,4,3
275554,4.44272,7.6453,4.25813,4.42826,0.00604832,0.00104682,126,apple,1,4,12
543635,5.06938,7.666,4.22158,3.6011,0.00618918,0.00104682,96,apple,1,10,14
684916,4.45953,7.64457,3.98505,2.77394,0.00744189,0.00104682,156,apple,1,7,3
543627,5.06938,7.666,4.25813,2.77394,0.00618918,0.00104682,130,apple,1,9,14
684896,4.45953,7.64457,3.98505,4.42826,0.00744189,0.00104682,96,apple,1,4,11
346990,4.4562,7.60678,3.93178,4.39339,0.00751664,0.00104682,105,scavenger,1,11,13
409558,4.45953,7.666,3.97002,3.61445,0.00713422,0.00104682,96,apple,1,9,14
476590,5.0814,7.67042,4.25813,4.42826,0.00529063,0.00104682,154,scavenger,0,4,12
614265,4.48014,5.12765,3.92974,3.6011,0.00767439,0.00104682,96,apple,1,4,3
275554,4.44272,7.66731,4.25813,3.6011,0.00697508,0.00104682,128,apple,1,4,13
543627,5.0814,7.666,4.25813,2.77394,0.00618918,0.00104682,156,apple,0,9,12
275554,4.03791,7.6453,3.9539,2.75884,0.00604832,0.00104682,96,apple,1,10,13
275554,4.44272,7.64801,4.25813,3.6011,0.00697508,0.00104682,128,apple,1,4,13
275554,4.51608,7.65831,3.9539,4.42826,0.0048964,0.00104682,96,apple,1,8,13
476590,5.06938,7.666,3.98505,2.77394,0.00744189,0.00104682,156,apple,0,7,3
476636,5.0814,7.60678,8.76651,4.42826,0.00713422,0.00126042,105,scavenger,1,4,12
275554,5.06938,7.64457,4.25813,4.42826,0.00713422,0.00104682,96,apple,1,9,3
543563,4.44272,7.666,3.9539,2.75884,0.00604832,0.00104682,96,apple,1,4,13
543627,4.45953,7.64457,3.98505,2.77394,0.00744189,0.00104682,130,apple,1,23,3
543563,4.44272,7.666,3.9539,4.42826,0.00604832,0.00104682,96,apple,1,8,13
347029,5.06938,7.65831,4.61883,4.40734,0.00713422,0.00115362,105,scavenger,1,9,12
684916,5.0814,7.666,3.97002,2.78729,0.00385838,0.00104682,156,apple,1,9,12
543627,4.44272,7.64801,3.98505,2.77394,0.00744189,0.00104682,130,apple,1,4,8
543563,4.44272,7.666,3.9539,4.42826,0.00604832,0.00104682,96,apple,1,8,14
684896,5.0814,7.65831,4.25813,4.42826,0.00744189,0.00104682,96,apple,1,4,11
543627,5.06938,7.666,3.98505,2.77394,0.00697508,0.00104682,130,apple,1,9,8
275554,5.06938,7.70547,4.25813,4.42826,0.00385838,0.00104682,96,apple,1,9,3
181544,4.51608,7.64457,3.98505,2.77394,0.00767439,0.00104682,96,apple,1,23,3
409558,5.06938,7.666,3.97002,3.61445,0.00385838,0.00104682,96,apple,1,9,11
614139,4.44272,7.666,4.25813,4.42826,0.00604832,0.00104682,96,apple,1,4,5
347029,5.0814,7.60678,8.76651,4.40734,0.00640507,0.00115362,110,scavenger,1,12,12
614265,4.51608,5.12765,3.88045,3.6011,0.00618918,0.00104682,96,predator,0,4,3
684916,4.44272,7.666,3.97002,2.78729,0.00604832,0.00104682,100,apple,1,9,13
275554,4.44272,7.70547,3.98505,4.42826,0.00744189,0.00104682,96,apple,1,9,3
275554,3.99065,7.65565,3.9539,2.75884,0.00529063,0.00104682,96,apple,1,4,12
347029,5.0814,7.65831,8.76651,4.40734,0.00640507,0.00115362,105,scavenger,0,9,12
614265,4.48014,7.64457,3.92974,3.6011,0.00767439,0.00104682,96,apple,1,23,3
684896,4.44272,7.666,3.9539,4.42826,0.00744189,0.00197072,96,apple,1,4,13
409558,4.45953,7.666,3.9539,3.61445,0.00713422,0.00104682,96,apple,1,10,13
614139,4.44272,7.666,4.25813,4.42826,0.00604832,0.00104682,100,apple,1,9,5
409558,5.06938,7.666,3.97002,3.62749,0.00819867,0.00104682,96,apple,1,9,3
