Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
278510,3.95177,7.60764,6.08857,6.4938,0.00937189,0.00104682,180,scavenger,1,13,20
278849,3.95177,7.60764,6.08857,5.15905,0.00937189,0.00104682,180,predator,0,13,16
640147,3.65928,7.50893,6.04404,2.72696,0.00969748,0.00104682,89,apple,1,16,11
640065,3.65928,7.50893,6.04404,2.72696,0.00874086,0.00104682,106,apple,1,15,11
640065,3.65928,7.55861,6.08857,6.4938,0.00937189,0.00104682,180,scavenger,1,16,11
640065,3.65928,7.55861,5.59934,2.75093,0.00937189,0.00104682,157,apple,1,16,11
640065,3.65928,7.50893,7.31595,2.703,0.00937189,0.00104682,106,apple,1,28,15
640065,3.65928,3.60134,5.83054,2.703,0.00937189,0.00104682,181,apple,1,16,11
665558,3.68263,7.55861,2.19459,2.703,0.00937189,0.00104682,181,apple,1,16,11
639249,3.65928,7.50893,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,12
665558,3.65928,7.55861,6.04404,1.08589,0.00937189,0.00104682,106,apple,1,25,15
638370,3.65928,7.55861,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,11
665558,3.65928,3.60134,6.08665,2.72696,0.00937189,0.00104682,89,apple,1,25,15
278510,3.95177,7.55861,6.08857,6.4938,0.00937189,0.00104682,180,scavenger,1,14,11
665558,3.65928,7.55861,6.04404,2.72696,0.00937189,0.00104682,106,apple,1,25,15
640065,3.95177,7.55861,6.08857,6.4938,0.00880733,0.00104682,180,scavenger,1,14,11
640065,3.65928,7.57338,5.83054,2.72696,0.0110427,0.00104682,89,apple,1,17,11
652852,3.65928,7.53079,6.04404,2.75093,0.00937189,0.00104682,157,apple,1,16,11
665558,3.65928,3.60134,6.04709,2.72696,0.00937189,0.00104682,89,apple,1,29,15
640065,3.65928,7.53079,5.59934,2.75093,0.00937189,0.00104682,157,apple,1,16,11
665558,3.65928,7.55861,6.04709,2.72696,0.00937189,0.00104682,89,apple,1,29,15
640065,3.95177,7.55861,6.08857,6.4938,0.00937189,0.00104682,180,scavenger,1,13,11
665558,3.65928,3.60134,6.04709,2.72696,0.00937189,0.00104682,89,apple,1,29,15
640065,3.68263,7.55861,4.01257,2.72696,0.00941299,0.00104682,181,apple,1,16,8
652852,3.65928,7.53079,6.04404,2.75093,0.00937189,0.00104682,157,apple,1,16,21
640065,3.95177,7.55861,6.08857,7.99287,0.00937189,0.00104682,180,scavenger,1,14,11
665558,3.65928,7.55861,5.59934,2.75093,0.00937189,0.00104682,157,apple,1,24,11
665558,3.65928,3.60134,6.04709,2.72696,0.00937189,0.00104682,89,apple,1,29,16
652852,3.66322,7.53079,6.04404,2.75093,0.00937189,0.00104682,157,apple,1,16,21
640065,3.65928,7.53079,3.15247,2.75093,0.0110427,0.00104682,89,apple,1,17,11
665558,3.65928,7.55861,5.59934,2.78686,0.00937189,0.00104682,106,apple,1,25,15
969917,3.68263,7.55861,2.19459,2.703,0.00941299,0.00104682,181,apple,1,16,11
