Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
638370,3.65928,7.55861,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,11
640065,3.65928,7.50893,3.11462,2.75093,0.00937189,0.00104682,106,predator,1,15,11
806014,3.65928,3.60134,5.83054,1.07018,0.00937189,0.00104682,89,apple,1,26,11
640065,3.92739,7.60764,5.83054,2.72696,0.00928736,0.00104682,180,scavenger,1,28,24
640065,3.65928,7.55861,6.04709,2.72696,0.0179379,0.00104682,105,apple,1,15,16
640065,3.65928,3.65027,5.83054,2.72696,0.00937189,0.00104682,181,apple,1,15,11
665558,3.65928,3.60134,0.186711,2.72696,0.00937189,0.00104682,89,apple,1,29,16
806014,3.65928,3.60134,1.76233,1.08536,0.00937189,0.00104682,92,apple,1,26,11
973322,3.64561,7.55861,6.06665,1.08589,0.0179379,0.00104682,105,apple,1,15,16
665558,3.65928,7.55861,0.186711,2.72696,0.00895955,0.00104682,106,apple,1,29,17
640065,3.65928,7.53904,5.83054,2.72696,0.00937189,0.00104682,106,apple,1,15,19
973322,3.65928,7.50893,6.06371,1.07018,0.00886323,0.00104682,89,apple,1,29,15
640065,3.65928,7.55861,0.186711,1.94439,0.0179379,0.00104682,88,apple,1,29,19
640065,3.65928,5.60084,5.83054,2.72696,0.00937189,0.00104682,185,apple,1,15,11
640065,3.65928,7.55861,6.04709,4.18234,0.0179379,0.00104682,89,apple,1,15,16
638370,3.65928,7.55861,2.86115,2.72696,0.00937189,0.00104682,89,apple,1,15,11
640065,5.57774,7.52393,6.06665,1.94439,0.00908291,0.00104682,88,apple,1,23,19
806014,3.65928,3.60134,1.76233,2.73379,0.00937189,0.00104682,181,apple,1,21,11
807420,3.65928,7.50893,6.01433,2.72696,0.0179379,0.00104682,89,apple,1,29,15
665558,3.64561,7.55861,5.83054,1.11729,0.00895955,0.00104682,106,apple,1,29,11
645103,5.60994,7.55861,5.83054,2.72696,0.0179379,0.00104682,185,apple,1,15,11
806014,3.65928,3.60134,5.83054,1.11729,0.0101391,0.00104682,89,apple,1,26,11
613009,3.63994,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,19
665558,3.64561,3.60134,5.83054,1.11729,0.00895955,0.00104682,106,apple,1,29,11
806014,3.65928,3.60134,0.186711,1.90899,0.0101391,0.00104682,106,apple,1,29,11
640065,3.65928,7.50893,6.01433,2.33567,0.0179379,0.00104682,89,apple,1,29,19
640065,3.64561,3.65027,5.83054,2.72696,0.00895955,0.00104682,106,apple,1,29,11
665558,3.65928,3.60134,5.83054,1.07018,0.00895955,0.00104682,106,apple,1,26,11
640065,3.65928,7.50893,0.186711,2.33567,0.0179379,0.00104682,89,apple,1,29,19
640065,5.57774,3.60134,3.91449,1.08536,0.00937189,0.00104682,88,apple,1,26,11
807420,3.65928,7.50893,4.90219,2.72696,0.00937189,0.00104682,89,apple,1,29,19
640065,3.64561,3.65027,5.83054,1.11729,0.00937189,0.00104682,106,apple,1,22,11
806014,3.65928,3.60134,5.83054,1.07018,0.0100311,0.00104682,89,apple,1,29,11
640065,3.64561,3.65027,6.01433,2.33567,0.0179379,0.00104682,106,apple,1,29,11
