Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
529615,3.99114,6.10993,4.89941,2.77816,0.00794956,0.00166162,133,scavenger,1,13,15
536927,3.99114,7.63829,3.94227,2.77816,0.00937189,0.00101139,180,apple,1,13,18
529532,3.99114,7.62532,5.26863,2.77816,0.00937189,0.00104682,129,apple,1,16,14
529615,3.99114,7.63829,3.94227,2.77816,0.00937189,0.00101139,90,apple,1,16,18
529558,3.99114,7.63829,3.94227,2.77816,0.00794956,0.00104682,133,apple,1,13,13
529615,3.99114,7.63829,3.98396,2.76575,0.00780588,0.00104682,90,apple,1,16,18
529579,3.99114,7.63829,5.26863,2.75372,0.00937189,0.00104682,129,scavenger,1,13,14
529615,3.6134,7.62761,3.96716,2.75334,0.00794956,0.00212179,133,predator,1,16,13
529615,3.99114,6.13616,3.9025,2.76575,0.00780588,0.00101139,90,apple,1,7,18
529615,3.99114,6.13616,3.9025,2.76575,0.00780588,0.00104682,90,apple,1,16,18
438014,3.99114,7.62532,5.26863,2.75372,0.00780588,0.00101139,128,apple,1,13,16
277783,3.99114,7.62638,3.94227,2.77816,0.00981954,0.00101139,185,apple,1,18,13
529615,3.99114,6.13616,3.9025,2.76575,0.00780588,0.00101139,90,apple,1,16,16
529615,3.99114,6.13616,3.94227,2.74716,0.00780588,0.00101139,90,apple,1,16,17
403699,3.99114,7.63829,3.94227,2.77816,0.00937189,0.00104682,90,apple,1,17,18
529615,3.99114,7.62638,3.94227,2.77816,0.00549578,0.00101139,185,apple,1,18,13
529615,3.95177,7.63829,3.95954,2.77816,0.00794956,0.00104682,49,apple,1,13,13
438014,3.99114,7.66268,3.94227,2.75372,0.00780588,0.00101139,128,apple,1,13,16
529615,3.97217,7.59666,5.26863,2.77816,0.00549578,0.00104682,185,apple,1,18,14
438014,3.99114,7.66268,3.94227,2.75372,0.00794956,0.00104682,128,apple,1,13,16
529615,3.99114,7.63829,3.90528,2.74716,0.00780588,0.00104682,90,apple,1,16,20
438014,3.65928,7.63829,4.60545,2.78823,0.00780588,0.00104682,90,apple,1,17,15
438110,3.65928,7.59868,5.26863,2.78823,0.00780588,0.00104682,90,apple,1,16,17
438014,3.65928,7.59868,5.26863,2.74716,0.00780588,0.00104682,90,apple,1,16,17
536927,3.99114,7.66268,3.94227,2.75372,0.00937189,0.00101139,128,apple,1,13,16
529615,3.97217,7.59666,3.94227,2.77816,0.00511804,0.00104682,128,apple,1,13,18
746897,3.65928,7.62532,3.94227,2.80888,0.00780588,0.00101139,128,apple,1,15,14
529615,3.95177,7.63829,3.94227,2.75372,0.00937189,0.00104682,185,apple,1,13,15
438014,3.99114,7.63829,5.26863,2.74716,0.00780588,0.00104682,90,apple,1,16,20
483877,3.65928,7.63829,4.28249,2.78823,0.00780588,0.00135871,90,apple,1,13,15
536927,3.65928,7.66268,5.27269,2.75372,0.00780588,0.00104682,128,apple,1,16,16
746897,3.99114,7.62532,3.9025,2.76575,0.00780588,0.00101139,90,apple,1,7,18
277783,3.95177,7.62638,3.94227,2.75372,0.00869599,0.00101139,185,apple,1,13,15
529615,3.65928,7.6214,3.94227,2.77816,0.00937189,0.00104682,128,apple,1,16,18
438114,3.99114,7.59868,5.26863,2.78823,0.00780588,0.00104682,89,apple,1,16,18
746897,3.65928,7.59707,5.41057,2.80888,0.00981954,0.00101139,185,apple,1,18,13
529615,3.99114,7.63829,3.94227,2.75372,0.00937189,0.00101139,185,apple,1,7,15
529615,3.99114,6.13616,3.94227,2.76575,0.00511804,0.00101139,128,apple,1,13,16
529558,3.99114,7.60046,3.94227,2.75372,0.00794956,0.00101139,184,apple,1,11,13
277783,3.99114,7.63829,3.94227,2.78823,0.00981954,0.00101139,185,apple,1,18,13
