Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
529615,3.99114,6.10993,4.89941,2.77816,0.00794956,0.00166162,133,scavenger,1,13,15
529615,3.95177,7.63829,3.95954,2.77816,0.00794956,0.00104682,49,apple,1,13,13
438014,3.65928,7.63829,4.60545,2.78823,0.00780588,0.00104682,90,apple,1,17,15
438014,3.65928,7.59868,5.26863,2.74716,0.00780588,0.00104682,90,apple,1,16,17
536927,3.99114,7.66268,3.94227,2.75372,0.00937189,0.00101139,128,apple,1,13,16
529615,3.97217,7.59666,3.94227,2.77816,0.00511804,0.00104682,128,apple,1,13,18
746897,3.65928,7.62532,3.94227,2.80888,0.00780588,0.00101139,128,apple,1,15,14
746897,3.99114,7.62532,3.9025,2.76575,0.00780588,0.00101139,90,apple,1,7,18
746897,3.65928,7.59707,5.41057,2.80888,0.00981954,0.00101139,185,apple,1,18,13
277867,3.95177,7.63829,4.89941,6.48642,0.00869599,0.00104682,138,scavenger,1,13,15
536927,3.65928,7.62638,3.94227,2.75372,0.00869599,0.00104682,185,apple,1,16,16
529615,3.97915,7.63829,3.94227,2.77816,0.00794956,0.00104682,185,apple,1,13,13
529615,3.99114,7.6004,3.94227,2.77816,0.00937189,0.00104682,180,scavenger,1,18,18
462903,3.99114,7.63829,3.94227,2.74716,0.00937189,0.00101139,90,apple,1,13,16
529615,3.97915,7.63829,3.90085,2.77816,0.00511804,0.00104682,128,apple,1,13,13
277867,3.99114,7.63829,4.89941,6.48642,0.00937189,0.00104682,133,scavenger,1,13,14
529615,3.97915,7.63829,3.94227,2.77816,0.00794956,0.00104682,185,apple,1,13,13
529615,3.97217,7.59666,3.94227,2.77816,0.00549578,0.00104682,185,apple,1,13,13
277867,3.99114,7.63829,5.26863,4.63749,0.00937189,0.00104682,129,scavenger,1,15,13
529615,3.65928,7.6214,5.26863,2.77816,0.00937189,0.00104682,128,apple,1,16,23
438014,3.65928,7.59666,5.26863,2.77816,0.00937189,0.00104682,185,apple,1,13,18
529615,3.62567,7.6214,5.26863,2.77816,0.00937189,0.00104682,128,apple,1,16,23
438014,3.65928,7.63829,3.94227,2.74716,0.00937189,0.00104682,185,apple,1,16,13
438014,3.92013,7.59666,4.28249,2.77816,0.00415816,0.00104682,90,apple,1,13,18
529615,3.65928,8.65806,3.94227,2.77816,0.00794956,0.00104682,90,apple,1,13,13
438014,4.18098,7.61747,5.26863,2.74716,0.00937189,0.00101139,185,apple,1,13,16
529615,3.94709,7.6214,4.60545,2.77816,0.00937189,0.00104682,90,apple,1,16,23
533306,3.99114,7.6214,4.60545,2.77816,0.00780588,0.00104682,90,apple,1,16,20
438014,3.99114,7.66268,3.94227,2.75372,0.00937189,0.00101139,123,apple,1,13,16
746897,3.65928,7.59666,4.5895,2.78823,0.00981954,0.00104682,185,apple,1,13,13
437935,3.65928,7.63829,4.63573,2.78823,0.00869599,0.00104682,90,apple,1,16,16
529615,3.65928,8.65806,3.94227,2.77816,0.00794956,0.00104682,90,apple,1,13,11
529615,3.62567,7.58054,5.26863,2.77816,0.00937189,0.00104682,128,apple,1,16,23
483882,3.65928,7.63829,3.94227,2.74716,0.00794956,0.00104682,185,apple,0,15,13
746897,3.99114,7.66268,3.94227,2.80888,0.00780588,0.00101139,128,apple,1,15,16
529615,3.99114,6.10993,4.89941,2.77816,0.00937189,0.00166162,180,scavenger,1,13,18
533306,3.99114,7.6214,4.60545,2.77816,0.00937189,0.00104682,102,apple,1,16,23
