Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
614265,4.51608,5.12765,3.88045,3.6011,0.00618918,0.00104682,96,predator,0,4,3
614265,4.48014,7.64457,3.92974,3.6011,0.00767439,0.00104682,96,apple,1,23,3
595079,5.06938,7.666,4.25813,4.42826,0.00697508,0.00104682,96,apple,1,9,16
543563,4.48014,7.666,4.00611,2.79956,0.00529063,0.00104682,96,apple,1,16,13
649576,5.0814,7.666,3.97002,2.78729,0.00731195,0.00104682,156,apple,1,23,12
409654,4.45953,7.666,3.9822,2.75884,0.00604832,0.00104682,61,apple,1,29,14
649576,5.14019,7.70547,3.97002,2.78729,0.00731195,0.00104682,130,apple,1,9,13
275554,4.03816,7.6453,3.9539,2.78729,0.00731195,0.00104682,130,apple,1,6,13
543563,4.48014,7.666,3.9822,2.0115,0.00819867,0.00104682,96,apple,1,29,10
409654,3.99065,7.666,3.9539,2.75884,0.00495789,0.00104682,96,apple,1,4,23
409635,4.45953,7.666,3.95018,2.79154,0.00731195,0.00104682,61,apple,1,29,13
342514,4.27542,7.666,3.9539,2.77816,0.00599567,0.00104682,96,apple,1,16,14
409654,3.99065,7.666,3.97002,2.77816,0.00604832,0.00104682,130,apple,1,29,13
311272,4.4562,1.91179,3.93178,4.39339,0.00640507,0.00104682,105,scavenger,1,11,16
342514,4.27542,7.666,3.97002,3.6011,0.00599567,0.00104682,96,apple,1,15,14
543563,4.45953,7.65831,4.00611,2.75884,0.00819867,0.00104682,96,apple,1,16,13
342514,4.44215,7.59978,3.9539,5.18707,0.00604832,0.00104682,96,apple,1,29,13
409654,4.48014,7.70547,4.00611,2.82903,0.00529063,0.00104682,156,apple,1,16,12
342514,4.27542,7.666,3.9539,2.77816,0.00599567,0.00104682,96,apple,1,16,13
342514,4.27542,7.666,3.93236,2.80551,0.00599567,0.00104682,96,apple,1,16,13
649576,3.99065,7.666,3.97002,2.78729,0.00731195,0.00104682,130,apple,1,23,11
409654,4.45953,4.55586,3.95018,2.75884,0.00819867,0.00104682,61,apple,1,6,13
649576,3.99065,7.666,3.97002,2.78729,0.00713371,0.00104682,156,apple,1,23,14
649576,5.14019,7.70547,3.97002,2.78729,0.00731195,0.00104682,130,apple,1,29,13
347029,4.4562,1.91179,3.93178,4.39339,0.00640507,0.00104682,105,scavenger,1,11,13
342514,4.27542,7.666,3.9822,0.985483,0.00604832,0.00104682,61,apple,1,29,13
409654,5.14019,7.666,3.97002,2.78729,0.00495789,0.00104682,130,apple,1,4,23
347029,4.4562,1.86738,3.93178,4.39339,0.00607599,0.00104682,106,scavenger,1,11,13
342514,4.48014,7.666,4.00611,2.78729,0.00529063,0.00104682,61,apple,1,29,13
614265,4.48014,7.70547,3.9539,2.75884,0.00731195,0.00104682,130,apple,1,9,13
649576,5.0814,7.666,3.9539,2.78729,0.00599567,0.00104682,96,apple,1,16,12
595079,5.06938,7.6453,4.25813,2.78729,0.00697508,0.00104682,130,apple,1,6,13
275554,4.45953,7.60678,3.9539,2.78729,0.00607599,0.00104682,106,scavenger,1,11,13
342514,5.05007,7.59978,3.9539,2.78729,0.00604832,0.00104682,156,apple,1,23,12
649576,5.0814,7.666,3.97002,3.44183,0.00599567,0.00104682,96,apple,1,16,13
614265,4.41566,7.64457,3.9539,3.6011,0.00599567,0.00104682,96,apple,1,19,14
649576,4.77046,7.65831,3.97002,2.80927,0.00819867,0.00104682,156,apple,1,16,12
649576,3.99065,7.70547,3.9539,2.78729,0.00731195,0.00104682,130,apple,1,9,11
342514,5.05007,7.70547,3.9539,2.82903,0.00529063,0.00104682,156,apple,1,16,14
614265,4.48014,4.55586,3.95018,3.6011,0.00819867,0.00104682,61,apple,1,25,3
595079,4.27542,7.666,3.93236,2.78729,0.00599567,0.00104682,113,apple,1,16,13
275554,4.4562,1.91179,3.93178,4.39339,0.00547096,0.00104682,105,scavenger,0,11,13
649576,4.57695,7.65831,3.97002,2.75884,0.00819867,0.00104682,156,apple,1,16,12
649576,4.44215,7.59978,3.97002,2.78729,0.00731195,0.00104682,156,apple,1,23,12
649576,4.27542,7.666,3.9539,2.77816,0.00599567,0.00104682,107,apple,1,16,13
614265,5.14019,7.64457,3.9539,2.78729,0.00599567,0.00104682,130,apple,1,19,14
409654,3.99065,7.666,3.9822,2.75884,0.00495789,0.00104682,96,apple,1,4,23
