Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
138054,2.81526,6.0398,5.95476,6.58198,0.00210011,0.0011386,79,apple,0,4,21
446444,7.52968,0.0488795,9.28365,8.43673,0.0010706,0.00574406,199,apple,0,12,27
127209,8.18852,3.29432,9.25882,6.09278,0.00133941,0.00169214,74,apple,0,19,20
428891,4.81357,8.99187,0.109027,6.99739,0.00181572,0.0166277,91,apple,0,19,25
177001,4.30381,4.80504,3.18022,6.36917,0.0186054,0.00161164,151,apple,0,16,18
912627,6.16682,7.00646,5.36531,5.02446,0.00109122,0.00250901,105,apple,0,17,22
475366,4.70344,6.32104,7.43751,6.36917,0.0186054,0.00220156,162,scavenger,1,27,8
287633,4.30381,6.32104,3.21438,7.17624,0.0186054,0.00161164,151,apple,1,16,18
288162,4.30381,6.32104,3.26201,3.38648,0.0186054,0.00161164,162,apple,1,27,7
46561,3.32846,8.89741,5.36531,8.82014,0.014842,0.00250901,99,apple,0,4,5
177001,4.70344,4.80504,2.62671,8.60287,0.00133941,0.00307461,74,apple,0,14,5
288162,4.30381,6.32104,3.26201,3.38648,0.0186054,0.00161164,162,apple,1,27,7
288174,4.30381,6.32104,3.21438,3.38648,0.0178769,0.00161164,151,apple,1,27,28
287555,4.70344,6.32104,6.90387,7.17624,0.0136274,0.00161164,121,apple,0,21,8
47419,3.32846,8.89741,3.00638,8.82014,0.014842,0.00107272,99,apple,0,4,5
208971,2.13426,2.10113,0.44641,7.93079,0.0029458,0.00215224,157,apple,1,16,12
287633,4.70344,6.32104,3.65038,7.17624,0.0186054,0.00161164,151,banana,1,26,28
47419,3.32846,8.89741,5.36531,8.82014,0.014842,0.00107272,99,apple,0,4,5
754419,4.30381,1.55381,6.90387,7.43738,0.0029458,0.00161164,112,apple,0,26,29
912627,3.32846,8.89741,5.36531,8.82014,0.014842,0.00107272,99,apple,0,4,24
177001,4.30381,4.80504,3.18022,4.92446,0.0186054,0.00161164,151,scavenger,1,16,28
287555,4.70344,6.32104,6.90387,7.17624,0.0136274,0.00161164,162,apple,0,21,8
287633,4.30381,6.32104,3.21438,7.17624,0.0186054,0.00161164,162,apple,1,16,18
287633,4.47797,6.32104,6.90387,4.87783,0.0186054,0.00100874,163,apple,1,27,28
912627,3.32846,8.89741,5.36531,8.82014,0.018294,0.00131833,130,apple,1,4,22
287633,4.30381,6.32104,3.25325,7.17624,0.0186054,0.00161164,162,apple,1,16,20
287772,4.73256,6.32104,6.90387,7.17624,0.018294,0.00161164,162,apple,1,27,8
287633,4.30381,8.89741,3.00638,8.82014,0.0186054,0.00161164,60,apple,0,27,7
287217,4.70344,6.32104,3.21438,7.17624,0.0136274,0.00161164,167,apple,1,22,8
287633,4.30381,6.32104,3.21438,7.43738,0.0029458,0.00161164,162,apple,0,26,18
287633,4.30381,6.32104,3.21438,7.17624,0.0186054,0.00161164,162,apple,1,16,18
912627,4.73256,8.89741,5.36531,7.17624,0.018294,0.00161164,162,apple,1,27,22
475366,4.30381,7.28198,3.21438,7.17624,0.0186054,0.00220156,151,apple,1,16,18
208971,4.70344,2.10113,6.90387,7.17624,0.0136274,0.00215224,157,apple,1,16,8
287633,4.30381,6.32104,3.25325,7.17624,0.0186054,0.00161164,162,apple,1,16,18
288162,4.73256,6.32104,3.26201,3.38648,0.0186054,0.00161164,162,apple,1,27,8
287633,4.47797,6.32104,6.90387,4.87783,0.0186054,0.00161164,163,apple,0,27,25
287203,4.70344,6.32104,3.21438,7.17624,0.0136274,0.00161164,121,apple,1,22,8
47419,3.32846,6.0398,5.95476,6.58198,0.0152807,0.0011386,79,apple,0,4,4
912627,4.47797,6.32104,5.36531,8.82014,0.014842,0.00100874,163,apple,0,27,30
288162,3.32846,6.32104,5.36531,8.82014,0.0172516,0.00161164,162,apple,1,27,22
912627,4.73256,8.08969,5.36531,7.20531,0.0198824,0.00161164,162,apple,1,16,18
287495,4.30381,6.32104,3.21438,7.16531,0.0186054,0.00161164,162,apple,1,16,18
208971,4.70344,6.32104,6.90387,7.17624,0.0136274,0.00161164,162,banana,0,16,8
287633,4.30381,6.32104,3.18022,7.17624,0.0186054,0.00161164,151,apple,1,16,20
288162,4.30381,6.32104,3.21438,3.38648,0.0178769,0.00161164,162,apple,1,27,11
287633,4.47797,6.32104,6.90387,4.87783,0.0186054,0.00161164,163,apple,0,27,25
